date,code,inst,corp,indiv,foreign
20210812,000020,-301200,-93290000,-374198750,467789950
20210813,000020,20461100,21345000,511542100,-553348200
20210817,000020,-43497850,-86684200,262127100,-131945050
20210818,000020,51556900,-30133850,-955139050,933716000
20210819,000020,20554800,0,799328600,-819883400
20210820,000020,-8934300,363750000,25857850,-380673550
20210823,000020,20441350,5088750,-297031200,271501100
20210824,000020,-5180000,-6366400,-1497830300,1509376700
20210825,000020,-14311950,14900,139287000,-124989950
20210826,000020,-12311550,-321478250,226860250,106929550
20210827,000020,13468500,-202603950,57700750,131434700
20210830,000020,-20276150,0,289017000,-268740850
20210831,000020,-11451900,-9011650,177325900,-156862350
20210901,000020,-7365450,-20989250,-285950700,314305400
20210902,000020,2020650,170428050,-743909800,571461100
20210903,000020,-17199450,15416900,-952812950,954595500
20210906,000020,-64389850,143733350,-1436504850,1357161350
20210907,000020,-7932200,-56307300,1185206400,-1120966900
20210908,000020,4429350,581933450,-294078950,-292283850
20210909,000020,-468038400,1475000,596920400,-130357000
20210910,000020,-40225250,75613750,-34520300,-868200
20210913,000020,49436250,241144800,-3085500,-287495550
20210914,000020,-42147950,0,243145000,-200997050
20210915,000020,40154100,10000,-455561450,415397350
20210916,000020,14000150,10184000,-379740150,355556000
20210917,000020,-1668400,60415200,546393200,-605140000
20210923,000020,-50708100,-586700550,2266512050,-1629103400
20210924,000020,1135214250,-55070800,-2432428250,1352284800
20210927,000020,-670993900,-2436500,2428271800,-1754841400
20210928,000020,145139050,-2076357600,3074252150,-1143033600
20210929,000020,931214200,-1059997200,-749005250,877788250
20210930,000020,-492661350,-2578907200,3174022800,-102454250
20211001,000020,53161250,-386111050,-2775144000,3108093800
20211005,000020,-1069800900,790596150,2457557750,-2178353000
20211006,000020,1059502350,-4686096100,5913756200,-2287162450
20211007,000020,178645950,-1050098250,-3292060700,4163513000
20211008,000020,107981750,-142491550,3107084950,-3072575150
20211012,000020,-888969600,0,2431871100,-1542901500
20211013,000020,-148609250,22917250,1522850700,-1397158700
20211014,000020,21471000,-33336350,-428368150,440233500
20211015,000020,18171900,-70010450,1604555350,-1552716800
20211018,000020,71284650,69757850,-744177700,603135200
20211019,000020,-12200,3619750,380661150,-384268700
20211020,000020,-18957300,107924800,-820575400,731607900
20211021,000020,12896800,-11318200,-167678500,166099900
20211022,000020,-990500,2228900,181446050,-182684450
20211025,000020,-26975450,0,-86608600,113584050
20211026,000020,-10939500,5825850,-94438300,99551950
20211027,000020,-1795400,-1856000,116425600,-112774200
20211028,000020,60250,4146300,-432638600,428432050
20211029,000020,-66304350,-196723200,1166274950,-903247400
20211101,000020,-320014650,7227500,637272400,-324485250
20211102,000020,-281317750,6519750,-96256600,371054600
20211103,000020,-132822900,2596250,-739677100,869903750
20211104,000020,9895550,-23592200,-474607300,488303950
20211105,000020,997250,0,-450485100,449487850
20211108,000020,-4929850,130763800,2337149350,-2462983300
20211109,000020,7975850,17450000,-163739550,138313700
20211110,000020,-10800600,-2840000,-331635050,345275650
20211111,000020,1584200,1350000,-228262050,225327850
20211112,000020,-13191950,11185000,-818724550,820731500
20211115,000020,157266500,-17305550,-918634750,778673800
20211116,000020,13389250,85249000,-211219450,112581200
20211117,000020,-9864750,280700500,-200411600,-70424150
20211118,000020,10903150,420600,141489050,-152812800
20211119,000020,-2050000,-531325800,367367050,166008750
20211122,000020,-13170950,0,-508501200,521672150
20211123,000020,3434350,106020000,-101117950,-8336400
20211124,000020,-67600,10800000,172448250,-183180650
20211125,000020,6068700,-13450,295049900,-301105150
20211126,000020,-1217600,892845950,-925729750,34101400
20211129,000020,878450,-20091300,817291200,-798078350
20211130,000020,-2974750,-120458250,1628428600,-1504995600
20211201,000020,192034250,-51956900,-1033068950,892991600
20211202,000020,-148417100,-19406800,1143965150,-976141250
20211203,000020,88147000,-178814700,-1047201750,1137869450
20211206,000020,-90881350,-433500000,1531668500,-1007287150
20211207,000020,-18790650,-231226500,-552042050,802059200
20211208,000020,-31210950,-39984850,-120453150,191648950
20211209,000020,-93913500,0,829361550,-735448050
20211210,000020,214720550,29050,11110100,-225859700
20211213,000020,191967400,624000,-669001850,476410450
20211214,000020,196098300,32431200,232547450,-461076950
20211215,000020,137205300,75312450,-1481290550,1268772800
20211216,000020,-89331550,727179950,388378050,-1026226450
20211217,000020,6294100,7753100,87721700,-101768900
20211220,000020,-7468750,0,-883224950,890693700
20211221,000020,85241600,31030000,319992200,-436263800
20211222,000020,109503450,76510700,241260750,-427274900
20211223,000020,1528050,-4545000,641548650,-638531700
20211224,000020,9034600,98860000,-363703800,255809200
20211227,000020,39141650,-86709400,-71422650,118990400
20211228,000020,47858000,42646650,161214800,-251719450
20211229,000020,-49212450,44100000,-241710450,246822900
20211230,000020,45900650,-1475000,-105296800,60871150
20210104,000040,-544610,-21375655,113727405,-91807140
20210105,000040,-3004095,0,35988320,-32984225
20210106,000040,146350,0,40049800,-40196150
20210107,000040,228480,0,-25054555,24826075
20210108,000040,22366175,0,85333155,-107699330
20210111,000040,166370,0,-60638090,60471720
20210112,000040,15178745,0,26242465,-41421210
20210113,000040,-561540,0,-7696605,8258145
20210114,000040,-3210,102300,31262775,-31361865
20210115,000040,-2110,0,27392875,-27390765
20210118,000040,1390600,0,-3289955,1899355
20210119,000040,3078510,31250000,-35493590,1165080
20210120,000040,-1564200,-3090000,-16280570,20934770
20210121,000040,-3037070,0,-178637335,181674405
20210122,000040,-2055,0,-23374465,23376520
20210125,000040,0,0,115977250,-115977250
20210126,000040,0,2935605,63287225,-66222830
20210127,000040,5,0,-47961100,47961095
20210128,000040,1546680,3930000,108248090,-113724770
20210129,000040,81166730,5382000,-140954080,54405350
20210201,000040,-4486153,157675,-256082834,260411312
20210202,000040,22284961,2320127,-124893277,100288189
20210203,000040,5384589,0,79205222,-84589811
20210204,000040,-8872859,9260000,7773395,-8160536
20210205,000040,32683505,0,-14899684,-17783821
20210208,000040,-26925770,-38592225,178710225,-113192230
20210209,000040,-211640,-385560155,641287550,-255515755
20210210,000040,1425780,-3072580,92575300,-90928500
20210215,000040,68950185,67444845,-223534355,87139325
20210216,000040,-79270555,26236055,124290080,-71255580
20210217,000040,-959470,20025070,10417085,-29482685
20210218,000040,-4652565,534915,-3206575,7324225
20210219,000040,999246610,-7102330,-1160854540,168710260
20210222,000040,-1045723200,-87944685,1289430680,-155762795
20210223,000040,30385645,-1967040,-6739925,-21678680
20210224,000040,-15804710,76931805,-129578930,68451835
20210225,000040,9974855,0,-23438105,13463250
20210226,000040,-13360720,-2430000,-157593935,173384655
20210302,000040,-8152370,1250000,241515330,-234612960
20210303,000040,-1220,-63718565,4363350,59356435
20210304,000040,0,75434400,-58327580,-17106820
20210305,000040,-1325,-56365460,-117393805,173760590
20210308,000040,-18985,134500,-446110,330595
20210309,000040,-1634815,-26080590,181634285,-153918880
20210310,000040,1270,-48430725,111101710,-62672255
20210311,000040,4644500,-12506225,17214350,-9352625
20210312,000040,-4811840,80902210,-734648855,658558485
20210315,000040,1320,-44150295,528443390,-484294415
20210316,000040,0,37668305,-104032595,66364290
20210317,000040,0,-16163720,52070000,-35906280
20210318,000040,-18685,-15028825,101534005,-86486495
20210319,000040,70464920,-2672000,-224329730,156536810
20210322,000040,89560010,114494810,-119468335,-84586485
20210323,000040,80076345,0,-60289050,-19787295
20210324,000040,-255188020,-73266010,501802225,-173348195
20210325,000040,2600680,-44522805,-122128920,164051045
20210326,000040,-137889980,0,201925360,-64035380
20210329,000040,-123377610,0,-19776275,143153885
20210330,000040,-1469425,0,84464375,-82994950
20210331,000040,-1580640,0,-19305235,20885875
20210401,000040,0,0,49801985,-49801985
20210402,000040,-11348290,0,-79824350,91172640
20210405,000040,0,0,-118306560,118306560
20210406,000040,0,45159740,-142402840,97243100
20210407,000040,0,-35632895,-295291065,330923960
20210408,000040,0,3938520,386357240,-390295760
20210409,000040,0,1390000,-93894980,92504980
20210412,000040,-1793025,1385000,-16214080,16622105
20210413,000040,193200,2050000,28523035,-30766235
20210414,000040,0,66929425,146415815,-213345240
20210415,000040,-93500,22180230,23362415,-45449145
20210416,000040,5440,36668550,-4634600,-32039390
20210419,000040,3990,28223450,-57799425,29571985
20210420,000040,2740,-8220000,-62137610,70354870
20210421,000040,2690,0,20339410,-20342100
20210422,000040,1345,0,58922675,-58924020
20210423,000040,1325,43725,-101521270,101476220
20210426,000040,1320,123666505,-216236530,92568705
20210427,000040,-86466825,0,281048610,-194581785
20210428,000040,0,0,64117765,-64117765
20210429,000040,0,19589215,-50498955,30909740
20210430,000040,0,0,-20616350,20616350
20210503,000040,0,0,-1136795,1136795
20210504,000040,0,0,-27836080,27836080
20210506,000040,-1230,0,83471925,-83470695
20210507,000040,-1250,0,-4523880,4525130
20210510,000040,-1240,-41110000,94436445,-53325205
20210511,000040,-353400,0,36882240,-36528840
20210512,000040,-86505,0,-194775,281280
20210513,000040,-74340,0,-41856020,41930360
20210514,000040,-139230,0,7498935,-7359705
20210517,000040,-40250,337775,1279645,-1577170
20210518,000040,-112680175,0,59874505,52805670
20210520,000040,-26180,0,20114805,-20088625
20210521,000040,-20060,-234020740,252572950,-18532150
20210524,000040,-15015,0,15867565,-15852550
20210525,000040,-10260,0,-19584720,19594980
20210526,000040,42920,0,-30628990,30586070
20210527,000040,32060,0,66380,-98440
20210528,000040,7616870,0,-4349885,-3266985
20210531,000040,18720,0,425590,-444310
20210601,000040,14100,0,-57514760,57500660
20210602,000040,-7848060,16800000,-57292140,48340200
20210603,000040,8400,0,90461085,-90469485
20210604,000040,5975,11925000,3059290,-14990265
20210607,000040,5004720,0,11835105,-16839825
20210608,000040,15001755,0,-36131645,21129890
20210609,000040,12784825,-12042615,-15395285,14653075
20210610,000040,9708050,0,-56856745,47148695
20210611,000040,5995720,28305255,-957735,-33343240
20210614,000040,566155,-340176225,257896185,81713885
20210615,000040,-10320,-222108705,414473860,-192354835
20210616,000040,-12285870,-2555780,-30984050,45825700
20210617,000040,2490,-19001395,77838095,-58839190
20210618,000040,1260,0,-92042020,92040760
20210621,000040,1230,-3665550,40872440,-37208120
20210622,000040,1255,0,-3081150,3079895
20210623,000040,0,10004000,67731345,-77735345
20210624,000040,0,10092925,-67762915,57669990
20210625,000040,-12100,-3308405,-771670,4092175
20210628,000040,-9720,-19098000,1051635,18056085
20210629,000040,-7530,67452105,-205728405,138283830
20210630,000040,2766050,305610,136099565,-139171225
20210701,000040,-4940,8575,57360555,-57364190
20210702,000040,-3645,160085,29162380,-29318820
20210705,000040,-2420,121965,11132645,-11252190
20210706,000040,1210,81790,-17130690,17047690
20210707,000040,2440,-325920,13800185,-13476705
20210708,000040,2440,104520,52131915,-52238875
20210709,000040,4840,10006595,-24662510,14651075
20210712,000040,87285,5985050,-365452025,359379690
20210713,000040,2530,-3930635,12079370,-8151265
20210714,000040,2530,25505,-103989685,103961650
20210715,000040,-2540,55719810,-166368150,110650880
20210716,000040,-7740,62604155,238625820,-301222235
20210719,000040,0,247866775,-155344480,-92522295
20210720,000040,-2600,-350384815,273737205,76650210
20210721,000040,0,49895,128020245,-128070140
20210722,000040,-2590,-34040,-214775855,214812485
20210723,000040,-2550,8935,71044260,-71050645
