date,ticker,kr_open,kr_mid,kr_close,kr_session_chg,bars
20241111,NQ=F,21275.5,21273.5,21288.75,0.0623,7
20241112,ES=F,6026.0,6024.25,6023.25,-0.0456,14
20241112,NQ=F,21213.0,21208.5,21195.25,-0.0837,14
20241113,ES=F,6004.75,6004.5,5999.5,-0.0874,14
20241113,NQ=F,21144.25,21146.5,21121.0,-0.11,14
20241114,ES=F,6017.25,6010.75,6010.0,-0.1205,14
20241114,NQ=F,21152.75,21127.75,21121.5,-0.1477,14
20241115,ES=F,5962.0,5959.0,5956.25,-0.0964,14
20241115,NQ=F,20926.75,20905.5,20899.5,-0.1302,14
20241116,ES=F,5903.25,,5899.75,-0.0593,7
20241116,NQ=F,20561.25,,20503.25,-0.2821,7
20241118,ES=F,5913.5,5911.25,5912.75,-0.0127,7
20241118,NQ=F,20628.0,20629.5,20639.25,0.0545,7
20241119,ES=F,5918.0,5929.5,5928.25,0.1732,14
20241119,NQ=F,20626.5,20678.25,20669.25,0.2073,14
20241120,ES=F,5950.0,5944.5,5946.75,-0.0546,14
20241120,NQ=F,20813.5,20785.5,20796.0,-0.0841,14
20241121,ES=F,5918.5,5919.75,5925.5,0.1183,14
20241121,NQ=F,20649.5,20654.75,20677.75,0.1368,14
20241122,ES=F,5963.5,5965.75,5961.0,-0.0419,14
20241122,NQ=F,20770.0,20791.0,20766.5,-0.0169,14
20241123,ES=F,5989.5,,5990.25,0.0125,7
20241123,NQ=F,20842.0,,20878.75,0.1763,7
20241125,ES=F,6013.5,6013.25,6014.0,0.0083,7
20241125,NQ=F,20955.0,20961.0,20970.75,0.0752,7
20241126,ES=F,5985.0,6006.25,6003.75,0.3133,14
20241126,NQ=F,20797.0,20894.75,20883.0,0.4135,14
20241127,ES=F,6040.25,6040.25,6035.75,-0.0745,14
20241127,NQ=F,20985.75,20984.0,20958.75,-0.1287,14
20241128,ES=F,6022.0,6023.0,6022.5,0.0083,13
20241128,NQ=F,20845.25,20852.75,20856.0,0.0516,13
20241130,ES=F,6044.5,,6051.25,0.1117,3
20241130,NQ=F,20954.0,,20990.5,0.1742,3
20241202,ES=F,6044.75,6039.75,6039.0,-0.0951,7
20241202,NQ=F,20956.5,20950.25,20954.25,-0.0107,7
20241203,ES=F,6062.0,6065.75,6066.0,0.066,14
20241203,NQ=F,21211.0,21230.25,21231.25,0.0955,14
20241204,ES=F,6066.75,6069.75,6072.5,0.0948,14
20241204,NQ=F,21323.0,21341.25,21357.0,0.1595,14
20241205,ES=F,6091.5,6095.25,6096.25,0.078,14
20241205,NQ=F,21497.5,21515.5,21514.25,0.0779,14
20241206,ES=F,6082.75,6082.75,6084.75,0.0329,14
20241206,NQ=F,21455.0,21464.75,21477.0,0.1025,14
20241207,ES=F,6107.0,,6096.75,-0.1678,7
20241207,NQ=F,21619.5,,21631.75,0.0567,7
20241209,ES=F,6097.75,6095.0,6095.5,-0.0369,7
20241209,NQ=F,21643.25,21643.25,21648.0,0.0219,7
20241210,ES=F,6062.75,6062.25,6061.5,-0.0206,14
20241210,NQ=F,21477.0,21473.0,21464.25,-0.0594,14
20241211,ES=F,6050.25,6050.0,6051.0,0.0124,14
20241211,NQ=F,21422.5,21426.5,21430.75,0.0385,14
20241212,ES=F,6084.25,6084.25,6086.25,0.0329,14
20241212,NQ=F,21752.0,21760.75,21764.5,0.0575,14
20241213,ES=F,6068.75,6062.5,6065.25,-0.0577,14
20241213,NQ=F,21753.25,21704.25,21722.75,-0.1402,14
20241214,ES=F,6048.0,,6050.5,0.0413,7
20241214,NQ=F,21688.25,,21760.5,0.3331,7
20241216,ES=F,6059.0,6059.5,6056.5,-0.0413,7
20241216,NQ=F,21801.25,21804.25,21790.5,-0.0493,7
20241217,ES=F,6072.0,6076.5,6072.75,0.0124,14
20241217,NQ=F,22088.0,22115.25,22105.25,0.0781,14
20241218,ES=F,6052.5,6056.75,6062.75,0.1694,14
20241218,NQ=F,21983.5,22007.25,22039.75,0.2559,14
20241219,ES=F,5886.25,5880.5,5871.0,-0.2591,14
20241219,NQ=F,21264.5,21207.75,21165.75,-0.4644,14
20241220,ES=F,5849.5,5840.25,5852.25,0.047,14
20241220,NQ=F,21009.25,20952.25,20995.75,-0.0643,14
20241221,ES=F,5996.5,,5996.5,0.0,1
20241223,ES=F,6015.75,6021.75,6031.25,0.2577,7
20241223,NQ=F,21628.5,21674.0,21728.25,0.4612,7
20241224,ES=F,6035.25,6034.5,6035.5,0.0041,13
20241224,NQ=F,21735.25,21743.5,21751.5,0.0748,13
20241225,ES=F,6079.0,,6098.5,0.3208,3
20241225,NQ=F,21960.75,,22033.0,0.329,3
20241226,ES=F,6102.75,,6102.75,0.0,1
20241226,NQ=F,22090.25,,22090.25,0.0,1
20241227,ES=F,6086.5,6084.5,6083.0,-0.0575,14
20241227,NQ=F,21972.25,21952.0,21952.0,-0.0922,14
20241228,ES=F,6014.25,,6029.25,0.2494,7
20241228,NQ=F,21592.0,,21719.75,0.5917,7
20241230,ES=F,6024.25,6017.0,6013.25,-0.1826,7
20241230,NQ=F,21711.5,21679.5,21659.0,-0.2418,7
20241231,ES=F,5948.5,5956.25,5956.25,0.1303,14
20241231,NQ=F,21369.5,21408.25,21407.5,0.1778,14
