date,code,market_cap,volume,trade_value,shares
20210224,000040,127862699440,7841677,11135604640,96137368
20210225,000040,124497891560,4607385,6093946915,96137368
20210226,000040,118729649480,3925591,4789560435,96137368
20210302,000040,119691023160,3241906,4071894315,96137368
20210303,000040,117287588960,1643459,2007898310,96137368
20210304,000040,124978578400,9679962,12630502880,96137368
20210305,000040,127382012600,3848751,5029103725,96137368
20210308,000040,124497891560,2172960,2835024060,96137368
20210309,000040,126420638920,2884582,3748729090,96137368
20210310,000040,122094457360,1611847,2096610105,96137368
20210311,000040,120171710000,1194812,1505231370,96137368
20210312,000040,128824073120,5255312,6951004815,96137368
20210315,000040,126901325760,1790399,2368454445,96137368
20210316,000040,131708194160,6268972,8611806095,96137368
20210317,000040,129785446800,2357125,3148931785,96137368
20210318,000040,127382012600,1333533,1771810100,96137368
20210319,000040,129304759960,1246449,1648259230,96137368
20210322,000040,129304759960,1046423,1399767555,96137368
20210323,000040,130746820480,1460582,1966902090,96137368
20210324,000040,138918496760,16686777,23920973905,96137368
20210325,000040,133150254680,4003438,5572066235,96137368
20210326,000040,129304759960,1825146,2486508010,96137368
20210329,000040,124017204720,2244790,2953440930,96137368
20210330,000040,126901325760,844649,1111855240,96137368
20210331,000040,126420638920,918541,1218219895,96137368
20210401,000040,124978578400,1065657,1392668920,96137368
20210402,000040,123536517880,1277325,1644355305,96137368
20210405,000040,121133083680,1686891,2116344190,96137368
20210406,000040,135073002040,11697990,16105798935,96137368
20210407,000040,135073002040,3621068,5108227425,96137368
20210408,000040,132188881000,2737132,3827152215,96137368
20210409,000040,135073002040,2996217,4227117855,96137368
20210412,000040,132188881000,1704175,2349829655,96137368
20210413,000040,132669567840,1373449,1887594265,96137368
20210414,000040,135073002040,2762871,3867887210,96137368
20210415,000040,132188881000,1337737,1852885425,96137368
20210416,000040,130746820480,1216245,1669146785,96137368
20210419,000040,127862699440,1360669,1822499845,96137368
20210420,000040,131708194160,1165824,1583670915,96137368
20210421,000040,129304759960,840966,1131126640,96137368
20210422,000040,129304759960,1228155,1653355925,96137368
20210423,000040,127382012600,1114472,1473253230,96137368
20210426,000040,126901325760,1240046,1640036935,96137368
20210427,000040,127862699440,1603476,2119875990,96137368
20210428,000040,123536517880,962590,1247431875,96137368
20210429,000040,121613770520,815097,1033120235,96137368
20210430,000040,119691023160,785472,984963520,96137368
20210503,000040,117768275800,1050670,1301060380,96137368
20210504,000040,115364841600,1091591,1297542595,96137368
20210506,000040,118248962640,2166321,2695403120,96137368
20210507,000040,120171710000,388506,479994410,96137368
20210510,000040,119210336320,840286,1045071745,96137368
20210511,000040,116806902120,525627,642553840,96137368
20210512,000040,113922781080,635419,757056330,96137368
20210513,000040,113442094240,747408,887448025,96137368
20210514,000040,114403467920,457177,543986000,96137368
20210517,000040,110557973200,649141,755178485,96137368
20210518,000040,108635225840,917427,1044799705,96137368
20210520,000040,114403467920,869960,1009355100,96137368
20210521,000040,113442094240,1131655,1326576690,96137368
20210524,000040,111038660040,388663,453131775,96137368
20210525,000040,109596599520,369762,424953735,96137368
20210526,000040,111519346880,334405,384139620,96137368
20210527,000040,110077286360,336396,386069400,96137368
20210528,000040,112480720560,464358,538432760,96137368
20210531,000040,112480720560,343532,400693430,96137368
20210601,000040,112961407400,480096,563380340,96137368
20210602,000040,116326215280,928675,1118398440,96137368
20210603,000040,115364841600,508487,612849855,96137368
20210604,000040,114884154760,445565,528944695,96137368
20210607,000040,116326215280,769433,927045750,96137368
20210608,000040,116806902120,578682,695754345,96137368
20210609,000040,115364841600,525959,634693975,96137368
20210610,000040,116326215280,566947,683305120,96137368
20210611,000040,125459265240,25490445,34210908850,96137368
20210614,000040,123536517880,2636650,3369424605,96137368
20210615,000040,124017204720,1976744,2536655900,96137368
20210616,000040,124017204720,1241537,1591809025,96137368
20210617,000040,119691023160,1654194,2076568555,96137368
20210618,000040,121133083680,1229441,1549638030,96137368
20210621,000040,118248962640,834196,1028925505,96137368
20210622,000040,120652396840,827138,1040123575,96137368
20210623,000040,116326215280,1232641,1502767740,96137368
20210624,000040,115364841600,783102,930425245,96137368
20210625,000040,116326215280,557812,666495195,96137368
20210628,000040,116806902120,491623,594549370,96137368
20210629,000040,120652396840,1039051,1288169250,96137368
20210630,000040,117768275800,736527,911474800,96137368
20210701,000040,118729649480,395032,487028120,96137368
20210702,000040,116806902120,475158,579922705,96137368
20210705,000040,116326215280,461642,557862120,96137368
20210706,000040,116326215280,446070,539999255,96137368
20210707,000040,117287588960,1486136,1836683365,96137368
20210708,000040,117287588960,656267,797605150,96137368
20210709,000040,116326215280,874970,1046074035,96137368
20210712,000040,121613770520,4033024,5120087870,96137368
20210713,000040,121613770520,1753147,2241692640,96137368
20210714,000040,121613770520,1021335,1277368935,96137368
20210715,000040,122094457360,1054321,1338096565,96137368
20210716,000040,124017204720,7803936,10225441920,96137368
20210719,000040,124497891560,1946851,2507633050,96137368
