date,code,name,trade_value,rank
20231130,086280,,21230501900,172
20231130,080220,,20894623800,173
20231130,372170,,20682578500,174
20231130,024110,,20549623270,175
20231130,006800,,20232360290,176
20231130,049950,,20208102300,177
20231130,323410,,20198509500,178
20231130,222800,,20045414200,179
20231130,112610,,19934609400,180
20231130,010130,,19821832500,181
20231130,200710,,19779849750,182
20231130,383220,,19605490200,183
20231130,399720,,19145401700,184
20231130,000150,,18965342600,185
20231130,304100,,18818741200,186
20231130,078140,,18772406600,187
20231130,298040,,18714663500,188
20231130,348340,,18701597500,189
20231130,028300,,18701429200,190
20231130,039030,,18633343700,191
20231130,285800,,18580304305,192
20231130,430690,,18280762550,193
20231130,010120,,18242479000,194
20231130,357780,,18044834500,195
20231130,033290,,18041116130,196
20231130,033230,,17933099700,197
20231130,117730,,17926711550,198
20231130,072130,,17871178065,199
20231130,004370,,17847714000,200
20231231,060310,,0,1
20231231,095570,,0,2
20231231,006840,,0,3
20231231,054620,,0,4
20231231,265520,,0,5
20231231,211270,,0,6
20231231,027410,,0,7
20231231,282330,,0,8
20231231,126600,,0,9
20231231,138930,,0,10
20231231,001460,,0,11
20231231,001465,,0,12
20231231,013720,,0,13
20231231,083790,,0,14
20231231,001040,,0,15
20231231,079160,,0,16
20231231,035760,,0,17
20231231,311690,,0,18
20231231,00104K,,0,19
20231231,000120,,0,20
20231231,011150,,0,21
20231231,011155,,0,22
20231231,001045,,0,23
20231231,097950,,0,24
20231231,097955,,0,25
20231231,051500,,0,26
20231231,058820,,0,27
20231231,023460,,0,28
20231231,056730,,0,29
20231231,000480,,0,30
20231231,065770,,0,31
20231231,083660,,0,32
20231231,000590,,0,33
20231231,012030,,0,34
20231231,404950,,0,35
20231231,456440,,0,36
20231231,016610,,0,37
20231231,005830,,0,38
20231231,000990,,0,39
20231231,139130,,0,40
20231231,060900,,0,41
20231231,025440,,0,42
20231231,001530,,0,43
20231231,000210,,0,44
20231231,001880,,0,45
20231231,000215,,0,46
20231231,375500,,0,47
20231231,37550L,,0,48
20231231,37550K,,0,49
20231231,068790,,0,50
20231231,007340,,0,51
20231231,004840,,0,52
20231231,241520,,0,53
20231231,065150,,0,54
20231231,155660,,0,55
20231231,069730,,0,56
20231231,017860,,0,57
20231231,180400,,0,58
20231231,017940,,0,59
20231231,245620,,0,60
20231231,037370,,0,61
20231231,278990,,0,62
20231231,365550,,0,63
20231231,050120,,0,64
20231231,383220,,0,65
20231231,007700,,0,66
20231231,214270,,0,67
20231231,130500,,0,68
20231231,114090,,0,69
20231231,900290,,0,70
20231231,078930,,0,71
20231231,083450,,0,72
20231231,006360,,0,73
20231231,001250,,0,74
20231231,007070,,0,75
20231231,078935,,0,76
20231231,297890,,0,77
20231231,078150,,0,78
20231231,012630,,0,79
20231231,039570,,0,80
20231231,089470,,0,81
20231231,294870,,0,82
20231231,009540,,0,83
20231231,267250,,0,84
20231231,267270,,0,85
20231231,322000,,0,86
20231231,042670,,0,87
20231231,267260,,0,88
20231231,329180,,0,89
20231231,097230,,0,90
20231231,195940,,0,91
20231231,014790,,0,92
20231231,028300,,0,93
20231231,003580,,0,94
20231231,278650,,0,95
20231231,343090,,0,96
20231231,067630,,0,97
20231231,024850,,0,98
20231231,047920,,0,99
20231231,115450,,0,100
20231231,046210,,0,101
20231231,204320,,0,102
20231231,060980,,0,103
20231231,011200,,0,104
20231231,403870,,0,105
20231231,036640,,0,106
20231231,082740,,0,107
20231231,035000,,0,108
20231231,426550,,0,109
20231231,439730,,0,110
20231231,442770,,0,111
20231231,448760,,0,112
20231231,467930,,0,113
20231231,003560,,0,114
20231231,095340,,0,115
20231231,099520,,0,116
20231231,175330,,0,117
20231231,950170,,0,118
20231231,234080,,0,119
20231231,067290,,0,120
20231231,001060,,0,121
20231231,001067,,0,122
20231231,001065,,0,123
20231231,096760,,0,124
20231231,035900,,0,125
20231231,318000,,0,126
20231231,024840,,0,127
20231231,105560,,0,128
20231231,432320,,0,129
20231231,024120,,0,130
20231231,455250,,0,131
20231231,458320,,0,132
20231231,464680,,0,133
20231231,002380,,0,134
20231231,021320,,0,135
20231231,344820,,0,136
20231231,036670,,0,137
20231231,009070,,0,138
20231231,009440,,0,139
20231231,112190,,0,140
20231231,119650,,0,141
20231231,044180,,0,142
20231231,092220,,0,143
20231231,151860,,0,144
20231231,046440,,0,145
20231231,003620,,0,146
20231231,016380,,0,147
20231231,035600,,0,148
20231231,001390,,0,149
20231231,226360,,0,150
20231231,111870,,0,151
20231231,033180,,0,152
20231231,060720,,0,153
20231231,015590,,0,154
20231231,001940,,0,155
20231231,058400,,0,156
20231231,025000,,0,157
20231231,092230,,0,158
20231231,000040,,0,159
20231231,044450,,0,160
20231231,030200,,0,161
20231231,033780,,0,162
20231231,058850,,0,163
20231231,058860,,0,164
20231231,122450,,0,165
20231231,052900,,0,166
20231231,376190,,0,167
20231231,061970,,0,168
20231231,309960,,0,169
20231231,093050,,0,170
20231231,003550,,0,171
20231231,034220,,0,172
20231231,051900,,0,173
20231231,051905,,0,174
20231231,373220,,0,175
20231231,003555,,0,176
20231231,032640,,0,177
20231231,011070,,0,178
20231231,066570,,0,179
20231231,066575,,0,180
20231231,037560,,0,181
20231231,051910,,0,182
20231231,051915,,0,183
20231231,079550,,0,184
20231231,006260,,0,185
20231231,010120,,0,186
20231231,000680,,0,187
20231231,060370,,0,188
20231231,417200,,0,189
20231231,229640,,0,190
20231231,108320,,0,191
20231231,001120,,0,192
20231231,108670,,0,193
20231231,108675,,0,194
20231231,383800,,0,195
20231231,38380K,,0,196
20231231,086960,,0,197
20231231,023150,,0,198
20231231,038340,,0,199
20231231,035420,,0,200
20240131,005930,,1148592184077,1
20240131,006220,,473829095780,2
20240131,190510,,411554738700,3
20240131,126700,,396590733930,4
20240131,000270,,384231079600,5
20240131,000660,,379897664200,6
20240131,027580,,306107669225,7
20240131,028300,,287316733100,8
20240131,035420,,267032071500,9
