timestamp,kosdaq_prsn_ntby_qty,kosdaq_frgn_ntby_qty,kosdaq_orgn_ntby_qty
2026-09-18T13:25:08,-5129,2064,2430
2026-09-18T13:35:09,-5265,2070,2529
2026-09-18T13:45:08,-5410,2158,2587
2026-09-18T13:55:06,-5853,2494,2660
2026-09-18T14:05:08,-5444,2027,2702
2026-09-18T14:15:07,-5227,1685,2828
2026-09-18T14:25:07,-5280,1584,2936
2026-09-18T14:35:07,-5134,1245,2964
2026-09-18T14:45:07,-5208,1156,3048
2026-09-18T14:55:07,-5572,1332,3119
2026-09-18T15:05:07,-5669,1294,3216
2026-09-18T15:15:07,-5457,884,3333
2026-09-18T15:25:07,-5854,964,3437
2026-09-21T09:05:08,3508,-2513,-767
2026-09-21T09:15:07,5865,-4599,-976
2026-09-21T09:25:08,5456,-4013,-1142
2026-09-21T09:35:08,5424,-4048,-1039
2026-09-21T09:45:09,5768,-4427,-1060
2026-09-21T09:55:11,5721,-4474,-976
2026-09-21T10:05:07,5267,-4164,-735
2026-09-21T10:15:11,4814,-3815,-643
2026-09-21T10:25:09,4932,-4044,-554
2026-09-21T10:35:07,5304,-4376,-564
2026-09-21T10:45:09,5926,-5124,-423
2026-09-21T10:55:07,6816,-6015,-407
2026-09-21T11:05:07,7855,-7004,-423
2026-09-21T11:15:09,7688,-6848,-370
2026-09-21T11:25:07,7900,-7126,-285
2026-09-21T11:35:08,8067,-7293,-268
2026-09-21T11:45:07,8248,-7531,-214
2026-09-21T11:55:09,8680,-7990,-202
2026-09-21T12:05:07,9578,-8817,-245
2026-09-21T12:15:08,10315,-9534,-237
2026-09-21T12:25:09,10552,-9773,-217
2026-09-21T12:35:08,10949,-10170,-225
2026-09-21T12:45:09,11417,-10440,-312
2026-09-21T12:55:08,11833,-10692,-462
2026-09-21T13:05:07,12413,-10994,-778
2026-09-21T13:15:08,13173,-11801,-792
2026-09-21T13:25:11,13553,-12146,-843
2026-09-21T13:35:07,14369,-13000,-866
2026-09-21T13:45:08,14926,-13578,-892
2026-09-21T13:55:08,15561,-14263,-865
2026-09-21T14:05:07,15956,-14674,-894
2026-09-21T14:15:07,16387,-15085,-986
2026-09-21T14:25:07,16039,-14739,-1056
2026-09-21T14:35:10,16095,-14791,-1128
2026-09-21T14:45:08,15919,-14752,-1138
2026-09-21T14:55:08,15825,-14819,-1074
2026-09-21T15:05:07,15407,-14691,-1002
2026-09-21T15:15:07,15284,-14751,-830
2026-09-21T15:25:08,14951,-14688,-611
2026-09-22T09:05:10,8382,-1936,-6157
2026-09-22T09:15:06,10357,-2914,-7181
2026-09-22T09:25:06,10516,-2998,-7284
2026-09-22T09:35:08,10852,-3292,-7405
2026-09-22T09:45:06,11609,-3829,-7616
2026-09-22T09:55:07,11401,-3298,-7855
2026-09-22T10:05:08,10142,-1809,-8070
2026-09-22T10:15:08,9822,-1347,-8118
2026-09-22T10:25:08,10059,-1538,-8161
2026-09-22T10:35:06,10414,-1736,-8251
2026-09-22T10:45:06,10764,-1903,-8320
2026-09-22T10:55:08,10605,-1677,-8374
2026-09-22T11:05:08,10946,-1960,-8450
2026-09-22T11:15:08,11644,-2654,-8548
2026-09-22T11:25:06,12003,-2993,-8587
2026-09-22T11:35:06,12565,-3346,-8656
2026-09-22T11:45:06,12651,-3408,-8696
2026-09-22T11:55:08,12931,-3695,-8710
2026-09-22T12:05:06,13306,-4041,-8755
2026-09-22T12:15:06,13449,-4115,-8835
2026-09-22T12:25:06,13937,-4505,-8937
2026-09-22T12:35:07,14477,-4927,-9048
2026-09-22T12:45:08,15128,-5499,-9112
2026-09-22T12:55:06,16002,-6356,-9117
2026-09-22T13:05:06,17548,-7722,-9235
2026-09-22T13:15:08,18611,-8754,-9288
2026-09-22T13:25:06,19036,-9108,-9377
2026-09-22T13:35:06,19095,-9027,-9434
2026-09-22T13:45:06,19386,-9403,-9461
2026-09-22T13:55:06,19898,-9869,-9587
2026-09-22T14:05:08,19880,-9854,-9637
2026-09-22T14:15:06,19738,-9695,-9759
2026-09-22T14:25:06,20351,-10347,-9857
2026-09-22T14:35:06,20146,-10009,-9972
2026-09-22T14:45:06,19537,-9358,-10123
2026-09-22T14:55:08,18965,-8861,-10194
2026-09-22T15:05:07,18912,-8785,-10326
2026-09-22T15:15:10,19258,-9035,-10501
2026-09-22T15:25:06,19286,-9102,-10583
