timestamp,kospi,kosdaq
2026-09-01T12:35:05,6804.18,819.50
2026-09-01T12:45:04,6797.62,819.58
2026-09-01T12:55:04,6815.26,821.27
2026-09-01T13:05:04,6820.95,820.98
2026-09-01T13:15:04,6819.46,820.50
2026-09-01T13:25:04,6823.15,821.04
2026-09-01T13:35:08,6820.69,820.35
2026-09-01T13:45:04,6819.22,818.88
2026-09-01T13:55:06,6826.94,819.51
2026-09-01T14:05:04,6815.33,817.82
2026-09-01T14:15:04,6796.31,816.72
2026-09-01T14:25:04,6802.87,816.56
2026-09-01T14:35:06,6822.05,818.89
2026-09-01T14:45:04,6846.54,821.87
2026-09-01T14:55:04,6836.46,821.26
2026-09-01T15:05:05,6838.79,823.39
2026-09-01T15:15:08,6834.47,823.15
2026-09-02T09:05:07,6641.10,797.02
2026-09-02T09:15:04,6649.84,803.99
2026-09-02T09:25:04,6679.61,812.26
2026-09-02T09:35:04,6674.47,814.89
2026-09-02T09:45:03,6681.44,816.28
2026-09-02T09:55:04,6652.39,815.23
2026-09-02T10:05:03,6678.25,815.53
2026-09-02T10:15:04,6675.61,817.17
2026-09-02T10:25:05,6670.56,816.90
2026-09-02T10:35:04,6654.30,814.63
2026-09-02T10:45:04,6627.81,813.38
2026-09-02T10:55:03,6622.22,812.34
2026-09-02T11:05:04,6621.09,813.84
2026-09-02T11:15:04,6630.64,815.65
2026-09-02T11:25:03,6641.90,817.21
2026-09-02T11:35:04,6620.56,813.67
2026-09-02T11:45:03,6629.13,813.71
2026-09-02T11:55:05,6624.04,813.59
2026-09-02T12:05:03,6619.78,812.85
2026-09-02T12:15:03,6625.24,812.72
2026-09-02T12:25:05,6615.24,810.87
2026-09-02T12:35:04,6599.18,809.32
2026-09-02T12:45:04,6605.11,810.00
2026-09-02T12:55:04,6598.53,809.91
2026-09-02T14:32:37,6609.92,812.33
2026-09-02T14:42:36,6600.15,809.98
2026-09-02T14:52:42,6592.02,810.91
2026-09-02T15:02:36,6572.10,807.72
2026-09-02T15:12:36,6566.12,806.40
2026-09-03T10:32:42,6666.98,800.48
2026-09-03T10:32:42,6666.98,800.48
2026-09-03T10:42:36,6657.71,800.11
2026-09-03T10:52:34,6635.52,799.00
2026-09-03T11:02:34,6623.16,796.46
2026-09-03T11:12:34,6646.80,798.41
2026-09-03T11:22:34,6657.85,800.03
2026-09-03T14:51:04,6579.59,792.83
2026-09-03T15:01:09,6591.20,793.96
2026-09-03T15:11:04,6586.16,792.95
2026-09-04T10:30:15,6659.47,799.03
2026-09-04T10:40:10,6654.03,800.88
2026-09-04T10:50:09,6642.79,802.04
2026-09-04T11:00:11,6647.34,803.58
2026-09-04T11:10:09,6652.38,807.19
2026-09-04T11:20:11,6666.02,808.61
2026-09-04T11:30:10,6662.68,806.64
2026-09-04T11:40:08,6645.75,806.42
2026-09-04T11:50:08,6657.70,809.81
2026-09-04T12:00:11,6668.59,809.61
2026-09-04T12:10:11,6667.61,809.81
2026-09-04T12:20:07,6672.78,809.78
2026-09-04T12:30:04,6664.27,809.48
2026-09-04T12:40:04,6666.63,812.43
2026-09-04T12:50:05,6665.73,812.52
2026-09-04T13:00:04,6668.61,812.87
2026-09-04T13:20:04,6687.77,811.28
2026-09-04T13:30:04,6700.60,813.59
2026-09-04T13:40:04,6694.43,814.40
2026-09-04T13:50:06,6698.73,814.14
2026-09-04T14:00:04,6704.29,814.93
2026-09-04T14:10:04,6713.23,815.05
2026-09-04T14:20:06,6742.47,816.53
2026-09-04T14:30:04,6727.36,814.13
2026-09-04T14:40:04,6723.13,813.03
2026-09-04T14:50:04,6709.15,811.66
2026-09-04T15:00:04,6705.94,812.58
2026-09-04T15:10:04,6693.74,811.58
2026-09-07T19:50:51,6995.39,822.19
2026-09-08T09:05:05,7026.47,828.21
2026-09-08T09:15:03,7053.06,826.85
2026-09-08T09:25:05,7075.88,824.23
2026-09-08T09:35:05,7059.77,824.89
2026-09-08T09:45:03,7062.45,821.22
2026-09-08T09:55:03,7089.15,823.74
2026-09-08T10:05:05,7074.30,823.15
2026-09-08T10:15:03,7082.20,826.69
2026-09-08T10:25:04,7076.67,825.66
2026-09-08T10:35:03,7089.83,826.48
2026-09-08T10:45:03,7117.37,825.89
2026-09-08T10:55:03,7122.04,826.63
2026-09-08T11:05:03,7117.93,828.03
2026-09-08T11:15:03,7126.66,828.63
2026-09-08T11:25:03,7128.80,829.09
2026-09-08T11:35:03,7136.16,828.83
2026-09-08T11:45:03,7116.89,829.35
