timestamp,mode,code,name,action,reason
2026-09-01T14:15:07,real,368600,아이씨에이치,buy,"고점 대비 하락 + 최근3일 저점 대비 반등 확인 (고점 1248 대비 -21.6%, 저점 886 대비 반등 +10.4%, 현재가 978)"
2026-09-01T14:15:09,real,328130,루닛,hold,"하락폭은 충족하지만 아직 반등 확인 안 됨 (최근3일 저점 8810 대비 +2.4%, 기준 +3.0% 이상 필요)"
2026-09-01T14:15:10,real,043260,성호전자,buy,"고점 대비 하락 + 최근3일 저점 대비 반등 확인 (고점 22400 대비 -26.0%, 저점 14000 대비 반등 +18.4%, 현재가 16580)"
2026-09-01T14:25:06,real,210980,SK디앤디,buy,"고점 대비 하락 + 최근3일 저점 대비 반등 확인 (고점 4340 대비 -15.9%, 저점 2639 대비 반등 +38.3%, 현재가 3650)"
2026-09-01T14:25:07,real,054940,엑사이엔씨,buy,"고점 대비 하락 + 최근3일 저점 대비 반등 확인 (고점 4970 대비 -18.3%, 저점 3280 대비 반등 +23.8%, 현재가 4060)"
2026-09-01T14:25:08,real,368600,아이씨에이치,buy,"고점 대비 하락 + 최근3일 저점 대비 반등 확인 (고점 1248 대비 -21.8%, 저점 886 대비 반등 +10.2%, 현재가 976)"
2026-09-01T14:25:09,real,328130,루닛,hold,"하락폭은 충족하지만 아직 반등 확인 안 됨 (최근3일 저점 8810 대비 +2.7%, 기준 +3.0% 이상 필요)"
2026-09-01T14:25:11,real,043260,성호전자,buy,"고점 대비 하락 + 최근3일 저점 대비 반등 확인 (고점 22400 대비 -26.1%, 저점 14000 대비 반등 +18.3%, 현재가 16560)"
2026-09-01T14:35:08,real,210980,SK디앤디,buy,"고점 대비 하락 + 최근3일 저점 대비 반등 확인 (고점 4340 대비 -15.9%, 저점 2639 대비 반등 +38.3%, 현재가 3650)"
2026-09-01T14:35:09,real,054940,엑사이엔씨,buy,"고점 대비 하락 + 최근3일 저점 대비 반등 확인 (고점 4970 대비 -17.1%, 저점 3280 대비 반등 +25.6%, 현재가 4120)"
2026-09-01T14:35:10,real,368600,아이씨에이치,buy,"고점 대비 하락 + 최근3일 저점 대비 반등 확인 (고점 1248 대비 -22.4%, 저점 886 대비 반등 +9.3%, 현재가 968)"
2026-09-01T14:35:11,real,328130,루닛,hold,"하락폭은 충족하지만 아직 반등 확인 안 됨 (최근3일 저점 8810 대비 +2.7%, 기준 +3.0% 이상 필요)"
2026-09-01T14:35:13,real,043260,성호전자,buy,"고점 대비 하락 + 최근3일 저점 대비 반등 확인 (고점 22400 대비 -25.6%, 저점 14000 대비 반등 +19.0%, 현재가 16660)"
2026-09-01T14:45:05,real,210980,SK디앤디,buy,"고점 대비 하락 + 최근3일 저점 대비 반등 확인 (고점 4340 대비 -15.9%, 저점 2639 대비 반등 +38.3%, 현재가 3650)"
2026-09-01T14:45:06,real,054940,엑사이엔씨,buy,"고점 대비 하락 + 최근3일 저점 대비 반등 확인 (고점 4970 대비 -16.0%, 저점 3280 대비 반등 +27.3%, 현재가 4175)"
2026-09-01T14:45:07,real,368600,아이씨에이치,buy,"고점 대비 하락 + 최근3일 저점 대비 반등 확인 (고점 1248 대비 -21.7%, 저점 886 대비 반등 +10.3%, 현재가 977)"
2026-09-01T14:45:09,real,328130,루닛,buy,"고점 대비 하락 + 최근3일 저점 대비 반등 확인 (고점 12100 대비 -24.8%, 저점 8810 대비 반등 +3.3%, 현재가 9100)"
2026-09-01T14:45:10,real,043260,성호전자,buy,"고점 대비 하락 + 최근3일 저점 대비 반등 확인 (고점 22400 대비 -25.2%, 저점 14000 대비 반등 +19.7%, 현재가 16760)"
